date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:27:30	18753/18753	---MC-	200	added ('OK')	text/html	date:Thu,%2008%20Aug%202019%2007:27:29%20GMT	http://goblinslayer.jp/movie/	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/movie/index.html	(from http://goblinslayer.jp/)
00:27:30	18817/18817	---M--	200	added ('OK')	image/png	etag:%224981-575511883773d%22	http://goblinslayer.jp/wp-content/themes/goblinslayer/images/menu_movie_off.png	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-content/themes/goblinslayer/images/menu_movie_off.png	(from http://goblinslayer.jp/)
00:27:30	11055/11055	---M--	200	added ('OK')	image/png	etag:%222b2f-57551187eb47e%22	http://goblinslayer.jp/wp-content/themes/goblinslayer/images/menu_book_off.png	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-content/themes/goblinslayer/images/menu_book_off.png	(from http://goblinslayer.jp/)
00:27:32	11272/11272	---M--	200	added ('OK')	image/png	etag:%222c08-57551188242a5%22	http://goblinslayer.jp/wp-content/themes/goblinslayer/images/menu_goods_off.png	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-content/themes/goblinslayer/images/menu_goods_off.png	(from http://goblinslayer.jp/)
00:27:33	17281/17281	---MC-	200	added ('OK')	text/html	date:Thu,%2008%20Aug%202019%2007:27:31%20GMT	http://goblinslayer.jp/book/	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/book/index.html	(from http://goblinslayer.jp/)
00:27:33	11969/11969	---M--	200	added ('OK')	image/png	etag:%222ec1-575511884a7ed%22	http://goblinslayer.jp/wp-content/themes/goblinslayer/images/menu_music_off.png	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-content/themes/goblinslayer/images/menu_music_off.png	(from http://goblinslayer.jp/)
00:27:33	83241/83241	---MC-	200	added ('OK')	application/json	date:Thu,%2008%20Aug%202019%2007:27:17%20GMT	http://goblinslayer.jp/wp-json/	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-json/index.html	(from http://goblinslayer.jp/)
00:27:33	18438/18438	---MC-	200	added ('OK')	text/html	date:Thu,%2008%20Aug%202019%2007:27:32%20GMT	http://goblinslayer.jp/goods01/	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/goods01/index.html	(from http://goblinslayer.jp/)
00:27:33	11712/11712	---M--	200	added ('OK')	image/png	etag:%222dc0-575511888499c%22	http://goblinslayer.jp/wp-content/themes/goblinslayer/images/menu_special_off.png	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-content/themes/goblinslayer/images/menu_special_off.png	(from http://goblinslayer.jp/)
00:27:35	15557/15557	---MC-	200	added ('OK')	text/html	date:Thu,%2008%20Aug%202019%2007:27:33%20GMT	http://goblinslayer.jp/music/	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/music/index.html	(from http://goblinslayer.jp/)
00:27:35	13510/13510	---MC-	200	added ('OK')	text/html	date:Thu,%2008%20Aug%202019%2007:27:34%20GMT	http://goblinslayer.jp/special/top/	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/special/top/index.html	(from http://goblinslayer.jp/)
00:27:36	8997/8997	---M--	200	added ('OK')	image/png	etag:%222325-57551188fbfc3%22	http://goblinslayer.jp/wp-content/themes/goblinslayer/images/subttl-side-news.png	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-content/themes/goblinslayer/images/subttl-side-news.png	(from http://goblinslayer.jp/)
00:27:36	8536/8536	---M--	200	added ('OK')	image/png	etag:%222158-5755118902553%22	http://goblinslayer.jp/wp-content/themes/goblinslayer/images/subttl-side-twitter.png	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-content/themes/goblinslayer/images/subttl-side-twitter.png	(from http://goblinslayer.jp/)
00:27:36	24276/24276	---MC-	200	added ('OK')	text/html	date:Thu,%2008%20Aug%202019%2007:27:35%20GMT	http://goblinslayer.jp/news/592/	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/news/592/index.html	(from http://goblinslayer.jp/)
00:27:39	22155/22155	---MC-	200	added ('OK')	text/html	date:Thu,%2008%20Aug%202019%2007:27:36%20GMT	http://goblinslayer.jp/news/563/	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/news/563/index.html	(from http://goblinslayer.jp/)
00:27:39	22966/22966	---MC-	200	added ('OK')	text/html	date:Thu,%2008%20Aug%202019%2007:27:36%20GMT	http://goblinslayer.jp/news/549/	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/news/549/index.html	(from http://goblinslayer.jp/)
00:27:41	14716/14716	---MC-	200	added ('OK')	text/html	date:Thu,%2008%20Aug%202019%2007:27:39%20GMT	http://goblinslayer.jp/news/536/	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/news/536/index.html	(from http://goblinslayer.jp/)
00:27:41	19263/19263	---MC-	200	added ('OK')	text/html	date:Thu,%2008%20Aug%202019%2007:27:39%20GMT	http://goblinslayer.jp/news/540/	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/news/540/index.html	(from http://goblinslayer.jp/)
00:27:42	95170/95170	---M-Z	200	added ('OK')	application/javascript	etag:%221b95626cf7796551e445933f79466124+gzip%22	https://platform.twitter.com/widgets.js	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/platform.twitter.com/widgets.js	(from http://goblinslayer.jp/)
00:27:43	16902/16902	---MC-	200	added ('OK')	text/html	date:Thu,%2008%20Aug%202019%2007:27:42%20GMT	http://goblinslayer.jp/news/533/	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/news/533/index.html	(from http://goblinslayer.jp/)
00:27:43	2569/2569	---M--	200	added ('OK')	image/png	etag:%22a09-57551186bbd09%22	http://goblinslayer.jp/wp-content/themes/goblinslayer/images/foot-ga.png	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-content/themes/goblinslayer/images/foot-ga.png	(from http://goblinslayer.jp/)
00:27:45	25120/25120	---MC-	200	added ('OK')	text/html	date:Thu,%2008%20Aug%202019%2007:27:43%20GMT	http://goblinslayer.jp/news/512/	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/news/512/index.html	(from http://goblinslayer.jp/)
00:27:45	17478/17478	---MC-	200	added ('OK')	text/html	date:Thu,%2008%20Aug%202019%2007:27:43%20GMT	http://goblinslayer.jp/news/526/	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/news/526/index.html	(from http://goblinslayer.jp/)
00:27:46	15147/15147	---MC-	200	added ('OK')	text/html	date:Thu,%2008%20Aug%202019%2007:27:46%20GMT	http://goblinslayer.jp/news/502/	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/news/502/index.html	(from http://goblinslayer.jp/)
00:27:53	42863/42863	---M--	200	added ('OK')	application/javascript	etag:%22a76f-5778661cf55b1%22	http://goblinslayer.jp/wp-content/themes/goblinslayer/common/js/slick.min.js	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-content/themes/goblinslayer/common/js/slick.min.js	(from http://goblinslayer.jp/)
00:27:54	15506/15506	---MC-	200	added ('OK')	text/html	date:Thu,%2008%20Aug%202019%2007:27:54%20GMT	http://goblinslayer.jp/news/499/	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/news/499/index.html	(from http://goblinslayer.jp/)
